id,UniProt
4adn_A,Q8GNY5
4adn_B,Q8GNY5
4af1_A,B0R748
2xjq_A,P38894
4alz_A,Q01245
4aqr_D,Q9LF79
4epi_A,Q57159
3v0r_A,P79085
4ayg_A,Q5SBN3
4ayg_B,Q5SBN3
1fxo_G,Q9HU22
4b2f_A,O50962
2jc5_A,Q7DD47
4b6i_D,J9PBR6
1xwl_A,P52026
4bgp_A,P04873
4bt9_A,P13674
4bt9_B,P13674
4byz_A,Q63JW5
3l4p_A,Q46509
1vlb_A,Q46509
4cdp_A,Q8X5N8
4cfi_A,P70944
4ct7_A,A5YKK6
4cv4_A,Q9CQJ2
4csb_A,-
4cv7_A,B4F366
2i7c_C,Q8II73
4v23_A,P0DOE7
4ddp_A,Q14457
4dok_A,Q8VZW3
2z7f_I,P03973
4dol_A,Q9C8L2
3o3x_A,-
4e1p_B,P9WIP7
4e1p_A,P9WIP7
4edk_A,O05338
4e5r_A,Q6IRB5
4ea9_A,O85353
4ebg_B,A0A0H3JX79
4ebg_A,A0A0H3JX79
4eo1_A,P03663
4arl_B,Q57159
4erv_A,Q15413
6mm7_C,E9Q401
4ew5_B,Q9Z621
4ew5_A,Q9Z621
4exo_A,Q87T87
4ezi_A,Q5ZWI2
4f55_A,P0A3V0
4f87_A,Q7Y3F3
7kwt_A,Q7Y3F3
4f98_A,Q9HZ11
4fch_B,G8JZT0
4fhr_B,Q9WY63
3mhs_B,Q6WNK7
4dlh_B,Q9HRE7
4ftf_A,Q9KRD9
3vnb_A,O04379
3e8t_A,B5ABT1
4g6d_B,Q4Z9Y5
4g94_B,Q4Z9Y5
4g75_A,Q1W548
2ftx_A,P40014
4ghn_A,A7UY07
1zd7_B,P74750
4gip_A,P04849
4gip_B,P04849
4gk9_A,R4GRU1
4gn0_A,O28769
4goe_A,O43765
4goq_A,Q9A9C4
4goq_B,Q9A9C4
4gvq_C,O28344
1m15_A,P51541
4h9m_A,P07374
1wpu_A,P10943
4h4n_A,A0A6L7H4C2
3o79_A,Q9TSF8
4h9q_C,Q9UER7
4h9n_C,Q9UER7
4hfq_B,A0A0H2URA0
4hfv_A,Q5ZUE7
4hkd_B,Q13188
4mb5_A,B1VBB0
4hwx_A,Q9FDS0
4kct_B,P30615
4iaj_A,A0A0H2UR98
4iaj_B,A0A0H2UR98
4ics_A,A0A0H2UN95
1cvr_A,P95493
4iu3_B,A0AEF5
4wkz_A,A0AEF5
4j32_B,Q8ZRL5
4j4r_A,I6WJ72
2rku_A,P53350
4j8c_B,P50503
4j8c_A,P50503
4jgi_B,Q8RPG0
4jgi_A,Q8RPG0
4jja_A,Q5LI79
4jnu_A,Q7Z3B4
4jnu_B,Q7Z3B4
4jqu_B,P38428
4k05_B,A0A380YTY6
4k2m_A,O07566
4k2m_B,O07566
2ehq_A,Q5SI02
1y7t_B,P10584
5b6c_A,P55072
4ke2_B,B1P0S1
4ke2_C,B1P0S1
4kmn_A,Q13490
4koq_A,Q66GR6
4ksn_A,Q5ZSX5
4ksn_C,Q5ZSX5
1r8m_E,Q99418
3zoq_B,Q38503
3zoq_C,Q38503
4lim_A,P10363
4ehx_A,O67572
4lpq_A,D1BWR1
3ot9_B,Q818Z9
3twz_A,Q818Z9
3se9_G,Q0ED31
3tgt_A,Q0ED31
4n67_A,A0A0H3LV04
4lur_A,F1Q9N9
4lzh_A,A6T6R4
4lty_A,-
4lty_D,-
4m0q_B,Q05322
4m37_A,Q582G4
4mp8_A,A0A0H3K9Y6
4pz1_A,Q99XU0
2pw8_I,P01050
4myy_A,F4Y429
4ndt_A,A7UNK4
4ngd_A,Q9UPY3
4oe9_A,Q9P000
4oe9_B,Q9P000
7zh9_A,P22515
4o66_C,Q8BJL0
4o66_D,Q8BJL0
4o6g_A,L7N519
4qlp_A,O05443
4o6q_A,O69756
3mol_B,G3XD33
4o7j_B,-
4o87_A,Q707V3
4o87_B,Q707V3
1ugp_A,Q7SID2
1ugp_B,Q7SID3
4oa3_A,G2EA45
4obi_A,Q82Z21
4oie_A,Q9Q6P4
4oj6_C,G3M189
4ojl_C,G3M189
4ok9_A,A4IK89
4omf_B,D9PYF6
4gjp_A,Q3ZD72
3mmy_D,P52948
3mmy_F,P52948
4oxw_A,-
4p3a_B,P06684
4p5a_A,C1IC19
4p5a_B,C1IC19
4p7x_A,Q989T9
4phr_A,I1ZPA1
4pfx_A,I1ZPA1
4q0y_A,J7SH17
4q0y_B,J7SH17
4mmj_A,A0A140NAP5
6pxz_B,P04918
6pxz_C,P04918
4q6v_A,Q8ZQ08
4q7o_B,Q7DDN8
4qb0_A,P18272
4qaz_A,P18272
4qbu_A,C0JRE5
2fos_A,P00918
4qmd_B,Q92817
4qmd_A,Q92817
4qn8_A,Q5ZRR7
4qn8_B,Q5ZRR7
4qtq_A,Q8PJC5
2j6a_A,P53738
4r03_A,A6LGW3
4r7q_A,Q9KM24
7la6_A,Q9KM24
4tkx_L,Q51817
4rgi_A,A0A5P8YFX5
4rhf_A,Q489U8
4rnz_A,O25247
4rp4_A,P31007
4rp5_A,P31007
4rr9_A,Q9YFY3
4rsw_B,Q83YM3
5bnh_A,Q14527
5bnh_D,Q14527
4s39_A,Q5SLI8
7rsa_A,P61823
4tsh_A,C9E3B4
4geh_A,Q9BUL8
4geh_C,Q9BUL8
4m0q_A,Q05322
4u5h_B,P0CB20
4u5h_G,P0CB20
1ypy_A,P07612
4u9b_A,Q8EF49
4uc8_A,P03418
1yqw_Q,P18188
4ue8_B,Q9XZ56
1yqw_B,P18187
4uhv_B,Q9I741
2au7_A,P0A7A9
5ws1_A,P09874
4v1g_B,-
3pzw_A,P08170
4whe_A,P0AFM6
4wlr_B,Q16186
4wrp_B,Q5ZWY9
4wrp_A,Q5ZWY9
4wt3_A,Q9SR19
4wwr_F,P11441
4wyw_A,P03311
1u09_A,Q9QCE4
4xb4_A,P74102
4xb6_E,P16685
4xb6_F,P16686
4xb6_C,P16687
4xb6_D,P16688
4xb6_H,P16688
4xdu_A,O83774
2v4n_A,P66881
4xgl_A,O15091
4ytw_C,O60200
4xo1_A,P0AC92
4xo2_A,P0AC92
4xpz_A,Q9P376
4xqm_A,Q9USH8
3wok_A,V5YM14
3wol_A,V5YM14
6b6m_A,A8GBZ7
4fqn_B,Q9BSQ5
4ykd_A,Q9BSQ5
4y7s_A,Q5A0X8
4y7s_B,Q5A0X8
4y93_A,Q3ZC95
1btk_A,Q06187
4z9p_A,P18272
4ywk_B,Q8U3I4
4ywk_A,Q8U3I4
4yxp_A,P10238
1j8r_A,Q47450
4z3x_A,Q39TV8
4z8q_B,Q6TKR9
4z8t_B,Q6TKR9
4zce_B,L7N6F8
4zds_B,O24606
4zds_A,O24606
5ja5_A,Q5NBT9
4zi3_C,Q8C6E0
4zi3_D,Q8C6E0
4zmk_A,P79005
4zqv_A,-
4zya_B,O43776
4zya_A,O43776
5a0d_B,B1R775
5a0n_A,A5MCJ6
5a67_A,Q9SIY3
5a5y_A,Q9SIY3
1hbn_E,P11560
2hxm_A,P13051
5b1n_A,P0AEJ4
5b1q_B,Q9WT50
5b1q_A,Q9WT50
5b3p_A,Q56219
5b42_A,O67518
5z42_A,O67518
5b5i_B,O15980
5b5i_A,O15980
5bmt_B,A7AJI6
5bs1_B,-
5bty_A,-
5btz_A,-
5by8_B,Q5B6T5
3pkz_A,P20384
3pkz_B,P20384
5exe_C,Q2RI42
5c8q_B,G4N991
5ce9_A,C0LU17
5cfl_A,A7SLZ2
5cof_A,Q1R1X2
5cyz_C,P40065
3jsy_A,P54049
3jsy_B,P54049
5dbl_A,Q2G2B2
3h93_A,P0C2B2
5dje_B,P32527
5dje_A,P32527
5jak_A,A4ISV0
5dmp_A,D1Z0H7
5dmu_A,D1Z0H5
5e3e_E,-
5e3e_A,-
5e5y_C,Q948Z4
5e5q_A,Q948Z4
4kk7_A,-
5e7x_A,A8HBN5
5ef9_A,Q9QLL6
5el3_B,O75525
5ij2_B,A3CM52
5eqz_A,Q9S0B8
5exh_C,Q8BG87
4ead_A,P07650
5ezu_A,P26672
3pt1_A,Q04371
6lrd_A,D0EM60
5fbf_A,P24021
5fia_B,Q5ZXU7
3wwh_A,F7J696
5ftw_A,P31105
5fub_A,A1L1Q4
5g38_A,P0A432
5lpa_A,Q8ZPX9
5lpa_B,Q8ZPX9
5g5g_B,P77324
5ggl_A,Q8WZA1
5kwb_A,Q5MQD0
5gv0_A,P11438
5gw6_A,P06730
5h1n_B,P0A8K7
5h1n_A,P0A8K7
5h2d_A,Q6CUK7
5h6x_A,Q5ZW04
3crv_A,Q4JC68
2y1q_A,P37571
5hee_B,Q5JHM2
5hkq_I,A0A1S4NYE4
5hkx_A,P22681
5hqh_A,Q8Y5E5
5htl_A,Q9KUV7
5hub_A,Q8NS29
3im3_A,P00514
5hz7_A,P0AEX9
2in8_A,P9WHJ3
5i8j_B,Q7Y599
5i8j_A,Q7Y599
1lwd_B,P33198
5ii7_A,P04552
2lis_A,P04552
5imu_A,O05446
5iqj_A,M1QWM5
5iqj_C,M1QWM5
5lc8_A,Q8RNT4
5iz3_B,-
5j2l_B,-
5j3t_B,O13828
5j47_A,P03072
2bln_B,P77398
5j72_A,Q183L9
2pst_X,Q9I169
5jbg_A,G0YYQ5
5jfc_L,Q8U195
5jca_S,Q8U194
5jfc_S,Q8U194
4e40_A,G0UVW6
5jou_A,A7LXT0
5y4z_A,Q32ZE1
5jx1_A,Q15691
5k6d_B,A2IAD2
4peg_C,C4M1P9
5uki_A,C4M1P9
3lur_B,A0A0H3K0Y5
4dja_A,A9CH39
5kdv_A,Q9I5W4
5kdw_B,Q9I5W4
5kko_C,-
5kko_D,-
5klh_B,Q26806
5klh_A,Q26806
5kts_A,O57767
5kza_A,P03354
5l0r_A,Q8NBL1
5l0s_A,Q8NBL1
3b9q_A,O80842
3lbl_A,Q00987
5lbd_A,Q9SZC9
5ltj_A,G0RY84
3ncl_A,Q9Y5Y6
5m1m_A,Q6I7B9
1fcz_A,P13631
5m33_A,P60033
3x0g_A,A0A0D9RBI8
5mu4_A,D1L2W4
5muy_A,J7HBG8
5muy_B,J7HBG8
5mux_B,P45859
5mux_C,P45859
5n76_F,P72320
5naz_A,P29400
5nir_A,P02458
5njb_B,P0AFK0
5njc_D,P0AFK0
5njl_A,-
5noh_A,P04545
5noh_B,P04545
3gnu_P,Q9SPD4
5nod_A,Q8DNS0
4ued_B,Q13541
5o5s_A,P0A894
5o9e_A,G0SE90
5oh5_A,-
5ok6_A,P51784
5opm_A,P49902
1sx3_A,P0A6F5
1sx3_B,P0A6F5
5opz_A,-
5m45_B,Q8RM04
5m45_K,Q8RM04
3qfl_A,Q8GSK4
5t76_A,P49588
5um3_A,Q8IWV8
2bf6_A,Q59310
5txr_B,P09950
4npd_A,P38507
5uc0_A,Q2YQA6
5udz_A,Q9H9Z2
3dau_A,P0ABQ4
5ul3_A,O24770
5ul4_A,O24770
4yal_A,P00388
6e5y_A,Q7VTJ9
5uvr_A,Q51353
5kvk_A,A0A1C7D1B5
5v03_B,Q9H2S1
5wbx_B,Q9H2S1
5v0m_A,A0A1B1ZB31
5v7m_A,P15873
5vap_A,Q77DJ5
5vu3_B,A0A0H3CM13
3nr1_A,Q8N4P3
5vz0_A,-
5vz0_B,-
5w2f_A,P41214
5w4a_B,-
5w4d_B,-
5w5c_A,P63045
5w82_B,E9KNV6
5w82_E,E9KNV6
5wfy_A,P00970
5wx9_A,Q9LSX0
3d1g_A,P0A988
5x0b_A,Q5JD03
5x1u_B,Q5WZ95
3b49_A,Q929T5
5x1e_D,Q5ZYD0
5x1e_A,Q5ZYD0
5xbc_B,K4L9I6
2bmo_B,Q8RTL3
5xct_B,-
1ouw_C,P93114
4wzg_A,Q9BSB4
1cm3_A,P0AA04
5syr_B,P0A1C1
5ydn_A,Q9T1V9
5gof_A,Q8IWA4
5ygh_A,A0A0X8GJ44
6j33_B,W9BQ28
5yrt_C,Q59472
5yrv_I,Q59472
2vi1_A,P02883
5z1n_A,Q55BQ2
5z51_A,P9WNW1
5pal_A,P30563
5zmo_A,Q9L0M9
5znj_A,-
5zlq_A,Q9NWV4
6a02_A,A0A0D6IF67
6a0p_A,Q5WPU5
1c96_A,P20004
6ch1_A,P40729
6anz_A,B4RQJ2
6ao8_A,B4RL22
6as3_A,L7P7L6
6as3_B,L7P7L6
6asd_C,Q8NFU7
6avj_B,P0C7P0
2pq8_A,Q9H7Z6
6bk4_A,Q9I7D3
6bm5_A,P13009
1msk_A,P13009
6bn0_A,Q00363
6b1z_A,A0A077E909
6bwq_A,F9UST1
6bwr_A,F9UST1
6c0h_A,A0A3F2YLX1
1x6i_A,P64559
1x6j_A,P64559
6c62_C,A0A384E126
6c62_D,A0A384E126
6cb7_A,P20985
6cb6_A,P20985
3dai_A,Q6PL18
1z1l_A,O00408
6d7y_A,-
6d7y_B,-
6dlm_A,-
6dnm_A,-
6e0x_B,F9ZFJ0
6e7e_A,P0CI27
4zbo_D,D7C0E5
6eu8_A,A0A0A8R8E6
4za9_A,A2QHE5
4zac_D,Q03034
3h8t_A,A2I2W2
6exa_B,Q5ZYC7
6dfp_A,Q9KL64
6f45_D,M1EBB2
4p3x_A,Q9X1X7
6fc0_B,G0SFP0
6fbz_B,G0SFP0
6hr2_B,P40337
6fsw_A,O29759
1t95_A,O29759
6fy5_A,Q9P0M6
1nkp_D,P01106
1feh_A,P29166
3c8y_A,P29166
6gu2_C,K9J4F7
6gus_A,S5ZIQ9
6hem_A,Q9UHP3
6h86_A,B5KM66
6h86_B,B5KM66
6h95_A,Q8KRS7
6hat_B,P13199
6hj6_A,A0A023J4Z7
6q9c_A,O66842
6q9c_C,O66842
4mzv_A,P16422
6i0i_A,P83544
1wn9_A,Q5SI52
1wna_A,Q5SI52
5v6g_A,P05777
6i3v_A,O43715
6iah_A,A0A0Q2QQ54
5ngd_B,A7XXR3
5ngd_D,A7XXR3
6idx_A,Q96JJ3
2vg3_C,P9WFF7
6irx_A,A0A0R4IKJ1
3hfw_A,P54922
1svb_A,P14336
6jfk_A,O95140
6jim_B,A0A076V769
6l4l_A,A0A0H3JU78
6jpt_A,Q9BT73
2z5e_B,Q9BT73
6jv8_A,P08650
6jwh_A,P33755
6jwj_A,P33755
4ljo_A,Q96EP0
6kty_A,Q6MQ71
3u9g_A,Q8K3Y6
6l34_A,Q08945
6l3m_B,Q8KUH4
6l3r_A,P23921
6l3r_E,P23921
6l4p_B,Q39575
7bwf_B,A0A0B4ND47
4n7w_A,-
4n7w_B,-
1f5n_A,P32455
6lus_A,A0A3S8UVN5
6mbg_A,U6BSB2
6mdx_A,Q9H040
6mdw_A,Q9H040
6mi3_B,Q9Y6K9
3q1p_A,Q81EE8
6ndw_B,Q9RQB6
6ne6_A,-
2a6s_B,P69348
6o19_A,O13658
6e33_A,O13658
6o2v_A,Q96BY9
6o2v_B,Q96BY9
6o6y_A,B6YWC3
6odd_B,Q9HD34
6okd_C,-
6okd_D,-
6onu_C,P9WF43
6ono_C,P9WF43
6ovm_R,-
6ovk_R,-
6oz1_A,A0A0E3TT64
6p5h_B,Q5ZTL4
6p5h_A,Q5ZTL4
2qia_A,P0A722
1nns_A,P00805
6pce_A,Q5JTJ3
6pce_B,Q5JTJ3
2hgx_B,O15382
6q10_A,B2HM00
6qgr_B,A0A0E3QWH3
6qj0_A,G0S5H7
4zav_A,Q9HX08
2hqk_A,Q9U6Y3
6rrv_A,P11978
5n0s_A,A0A2R2JFI0
5n0n_A,A0A2R2JFH4
1t7v_A,P25311
2i2f_A,Q8Y8D7
7zz7_A,Q8Y8D7
6ro6_A,C1CYP4
6ro6_B,C1CYP4
6rwt_A,-
5l87_A,Q8IEW2
6spt_A,Q8IEW2
5op0_B,A0R5T1
6q9c_B,O66841
6q9c_D,O66841
3ebh_A,O96935
6sdk_A,P26497
6qfk_A,-
6sms_A,-
6sup_A,Q8GF99
1i4m_A,P04156
1t8h_A,P84138
4xb5_A,P74102
6tj6_C,O00934
6tly_A,A0A0S4IKF4
1t8k_A,P0A6A8
6uof_A,Q8DPV2
2ppp_A,P62942
6vg5_A,P07564
7s6q_C,A0A2D2D0T0
7mf4_A,Q4DJ68
6w6x_A,-
6uxe_B,Q9HD34
2yxn_A,P0AGJ9
5w53_A,A5K736
5w53_B,A5K736
6wzw_A,Q9NR48
2wbf_X,Q9TY95
3cla_A,P00484
6xb3_H,P08358
6xb3_A,P08358
6xds_A,P0AEX9
6wqd_B,P0DTD1
6yhu_B,P0DTD1
2yp8_A,I2D7A8
6nl2_B,Q9L069
6nl2_A,Q9L069
6xrx_A,P0AEX9
6y2x_A,Q86UW9
6y43_A,Q8NI99
6y5p_B,Q86Y01
1pcf_C,P53999
6z2t_A,C6KNC6
6zdt_B,Q12460
6eof_A,G3I8R9
7a66_B,-
7a66_C,-
7adr_C,P16857
5n6y_C,P16857
7aex_A,P52129
7aqx_A,P26332
7asg_A,Q15582
6fub_B,C4B8C2
8b2r_B,C4B8B8
7bhc_A,P69506
7bqi_A,Q9BQS8
3lx5_A,Q5M586
5x1e_B,Q5ZS31
5x1e_E,Q5ZS31
6ypi_A,-
5dpo_A,-
3wkx_A,E8MGH8
7dif_A,E8MGH8
7c21_A,O56774
7c45_A,Q38DE2
5wqq_A,P80176
3a39_A,P80176
7ccg_A,A0A059WF38
2nml_A,P84090
1w9g_A,P84090
3bri_A,Q24117
1ys1_X,P22088
5h7w_B,A0A2I4HXH5
6h49_A,Q9F0J8
1k5n_A,P01889
7dmn_A,A0A0E4AYE7
7ecq_A,Q9D8T0
7egs_A,P0A8V2
3lti_A,P0A8V2
7k7p_B,P0DTD1
1zdy_A,Q4R2T2
8bnt_B,Q92974
7jfl_C,Q92793
7jfl_D,Q92793
7jrq_A,-
6vr8_I,E3GZ29
7m8h_A,Q9Y316
2foz_A,Q9NX46
7lao_A,Q01515
1ptq_A,P28867
7lp1_A,Q96PU5
7qgs_A,Q09472
2vcc_A,A0A0H2YU91
7mq3_A,A0A0H2ZNA4
4jmu_A,P12497
7n0j_A,P64506
7n0j_E,P64506
7n1n_A,A0A0H2UWN8
6cka_B,A0A0H2UWN8
7ned_A,A0A0Q9KFZ4
6zsl_B,P0DTD1
5rlk_B,P0DTD1
7nmq_A,Q1XBV1
7nru_A,C0JF81
3apa_A,O60844
3ouf_A,C2R3K4
3ouf_B,C2R3K4
7p41_D,Q5VT66
3hht_A,Q84FS5
6tgk_C,Q05086
7qsu_A,H3ZKG9
5en2_C,P26313
7r79_B,F0UVX7
7r79_C,F0UVX7
6dgk_A,Q99AU3
6dgk_B,Q99AU3
7rm7_A,Q2FZ58
7snb_A,Q2FZ58
7s58_D,A0A023FDY8
7s86_A,D8QCG9
3dpg_B,Q9F6L0
7s94_C,B3VQ66
7sao_A,-
1vyi_A,P22363
7u1y_A,Q9UT55
7t9q_A,-
7ubj_A,P03047
7ubk_B,P03047
7uhe_A,P35189
7uhe_C,P35189
2bfw_A,Q9V2J8
4qx8_C,P59997
4qx8_B,P59997
2cb5_A,Q13867
7ec1_A,A0A0H2XGN0
7vfk_A,A0A0H2XGN0
2igi_A,P0A784
7w81_B,Q931P4
7w81_A,Q931P4
7mfu_A,P0DTC2
1dk8_A,O15169
8htw_B,Q7LYJ6
3e2d_A,Q93P54
7z1k_A,Q96T58
7z27_A,Q96T37
4cbe_A,O50665
6atg_C,O50665
7zou_A,-
7zoy_A,-
1ikt_A,P51659
8b3w_A,M4T0T6
7wab_A,A0A3F3RXI7
4psf_B,Q9NWS0
7ead_A,Q746G4
1u6r_B,P00563
7zkk_B,Q3ACS4
1mlw_A,P17752
1v0w_A,P84147
8cxl_A,A7KH32
1dpt_A,P30046
8dkp_A,F7X6I3
8dkp_B,F7X6I3
1kop_A,Q50940
8ezh_B,F9USS9
3ooi_A,Q96L73
5t2p_B,L7R9I1
5t2p_D,L7R9I1
7onn_A,P0AD68
1dwk_A,P00816
1ix9_A,P00448
5osw_A,B3VHM9
5ori_A,B3VHM9
1xeo_A,P0A6K3
5mdu_A,Q9UTE3
7mi2_A,Q9UTE3
4qxo_A,Q86WV6
1hc9_B,P60615
2ygs_A,O14727
6in7_A,P38107
3bjd_B,Q9HY91
3bjd_C,Q9HY91
2fyg_A,P0C6U8
6zpe_A,P0DTD1
